Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
shop,,,,21-12-2023 17:14:03,21-12-2023 17:14:06,2.474s,ERROR
,,,,,,,
Test Cases/AR BE/Shop Info,,,,21-12-2023 17:14:06,21-12-2023 17:14:06,0.264s,ERROR
"response = sendRequest(findTestObject(""AR BE/Auth"", [""shop"":shop]))",,,,21-12-2023 17:14:06,21-12-2023 17:14:06,0.106s,PASSED
parse = new groovy.json.JsonSlurper(),,,,21-12-2023 17:14:06,21-12-2023 17:14:06,0.000s,PASSED
after_response = parse.parseText(response.getResponseBodyContent()),,,,21-12-2023 17:14:06,21-12-2023 17:14:06,0.000s,PASSED
"authorization = ""Bearer "" + token",,,,21-12-2023 17:14:06,21-12-2023 17:14:06,0.001s,PASSED
"response = sendRequest(findTestObject(""AR BE/Shop Info"", [""authorization"":authorization]))",,,,21-12-2023 17:14:06,21-12-2023 17:14:06,0.135s,PASSED
after_response = parse.parseText(response.getResponseBodyContent()),,,,21-12-2023 17:14:06,21-12-2023 17:14:06,0.001s,PASSED
logInfo(after_response),,,,21-12-2023 17:14:06,21-12-2023 17:14:06,0.006s,ERROR
